ID,exit,entry,Run,Frames
80,4427.0,3022.0,5,1405.0
81,4456.0,3046.0,5,1410.0
82,3079.0,1615.0,5,1464.0
83,3308.0,2021.0,5,1287.0
84,2965.0,1800.0,5,1165.0
85,4268.0,2727.0,5,1541.0
86,2552.0,1404.0,5,1148.0
87,1918.0,1005.0,5,913.0
88,2115.0,1144.0,5,971.0
9,3613.0,2287.0,5,1326.0
90,4012.0,2839.0,5,1173.0
92,3415.0,2175.0,5,1240.0
94,3839.0,2494.0,5,1345.0
95,3573.0,2269.0,5,1304.0
96,2807.0,1368.0,5,1439.0
97,2624.0,1268.0,5,1356.0
98,3394.0,1898.0,5,1496.0
99,2275.0,1166.0,5,1109.0
35,3629.0,2477.0,6,1152.0
36,3865.0,2521.0,6,1344.0
37,3336.0,2151.0,6,1185.0
38,3613.0,2338.0,6,1275.0
39,2891.0,1740.0,6,1151.0
4,4530.0,3039.0,6,1491.0
40,2746.0,1544.0,6,1202.0
41,3030.0,1806.0,6,1224.0
42,2209.0,1099.0,6,1110.0
43,2015.0,953.0,6,1062.0
44,2073.0,1045.0,6,1028.0
46,4318.0,2965.0,6,1353.0
47,4044.0,2694.0,6,1350.0
48,3952.0,2572.0,6,1380.0
49,3217.0,2046.0,6,1171.0
5,3912.0,2280.0,6,1632.0
50,3207.0,1953.0,6,1254.0
51,2664.0,1474.0,6,1190.0
52,3140.0,1803.0,6,1337.0
53,2502.0,1320.0,6,1182.0
54,2599.0,1319.0,6,1280.0
55,2196.0,1095.0,6,1101.0
57,4253.0,2904.0,6,1349.0
59,4421.0,3094.0,6,1327.0
60,3484.0,2420.0,6,1064.0
61,3431.0,2111.0,6,1320.0
62,2937.0,1613.0,6,1324.0
63,2311.0,1253.0,6,1058.0
64,2429.0,1334.0,6,1095.0
65,2359.0,1278.0,6,1081.0
66,1903.0,827.0,6,1076.0
69,3393.0,2148.0,6,1245.0
7,3099.0,1899.0,6,1200.0
70,3454.0,1996.0,6,1458.0
71,3261.0,1808.0,6,1453.0
72,2777.0,1527.0,6,1250.0
73,3181.0,1738.0,6,1443.0
74,2533.0,1418.0,6,1115.0
75,2860.0,1552.0,6,1308.0
76,2003.0,1039.0,6,964.0
77,2124.0,1113.0,6,1011.0
79,4704.0,3244.0,6,1460.0
8,3381.0,2125.0,6,1256.0
80,4463.0,3013.0,6,1450.0
81,4420.0,3148.0,6,1272.0
82,4221.0,2974.0,6,1247.0
83,3755.0,2601.0,6,1154.0
84,4168.0,2679.0,6,1489.0
85,3546.0,2309.0,6,1237.0
86,3260.0,1895.0,6,1365.0
87,2538.0,1331.0,6,1207.0
88,2161.0,1113.0,6,1048.0
9,4146.0,2756.0,6,1390.0
91,3951.0,2883.0,6,1068.0
92,3840.0,2746.0,6,1094.0
93,3710.0,2439.0,6,1271.0
95,4529.0,2886.0,6,1643.0
