ID,Event,Frame,Cell kind,Coordinates,
41,entry,2700,1,350.0502513,101.1859296
22,exit,2714,1,550.245,96.42
82,entry,2757,1,350.2020202,132.520202
88,exit,2769,1,550.1055276,105.4723618
27,entry,2775,1,350.0452261,89.75376884
5,entry,2808,1,350.0909091,64.44949495
44,exit,2830,1,550.02,93.16
43,exit,2863,1,550.1641791,108.6169154
83,entry,2908,1,350.1105528,106.3668342
21,exit,2911,1,550.0555556,83.35858586
72,entry,2948,1,350.0253807,118.5076142
93,entry,2951,1,350.0707071,136.2424242
33,exit,2955,1,550.040201,99.32160804
39,entry,2961,1,350,87.78787879
15,entry,2984,1,350.0459184,63.04081633
20,exit,3027,1,550.0454545,89.67676768
77,exit,3027,1,550.355,109.875
38,entry,3062,1,350.0406091,83.27411168
29,entry,3098,1,350.0351759,99.47738693
32,exit,3105,1,550.135,100.095
31,exit,3117,1,550.2211055,84.79899497
81,entry,3138,1,350.010101,120.6464646
87,exit,3201,1,550.0904523,86.75879397
99,exit,3220,1,550.0858586,105.8939394
66,entry,3233,1,350.020202,105.4949495
37,entry,3237,1,350.0351759,75.50251256
26,entry,3259,1,350.0304569,86.44162437
75,exit,3261,1,550.015,118.74
14,entry,3266,1,350.010101,62.92424242
71,entry,3306,1,350.0659898,121.4822335
98,exit,3316,1,550.321608,106.3266332
42,exit,3326,1,550.1868687,92.27777778
92,entry,3337,1,350.0757576,137.3737374
52,entry,3401,1,350.0301508,98.41708543
10,exit,3402,1,550.11,84.99
76,exit,3415,1,550.145,107.665
36,entry,3447,1,350.0761421,77.06091371
80,entry,3486,1,350.010101,127.5454545
55,exit,3487,1,550.07,92.74
86,exit,3496,1,550.0552764,111.9145729
19,exit,3569,1,550.0707071,81.97474747
30,exit,3572,1,550.0555556,97.23737374
64,entry,3588,1,350.0808081,103.8636364
85,exit,3595,1,550.0707071,112.8787879
59,entry,3601,1,350.2020202,113.5151515
48,entry,3628,1,350.0606061,90.62121212
16,entry,3640,1,350.071066,63.45177665
74,exit,3654,1,550.1507538,96.45226131
2,entry,3676,1,350.045,80.48
96,exit,3704,1,550.0854271,113.5276382
91,entry,3712,1,350.020202,136.6060606
7,exit,3744,1,550.0502513,87.10050251
40,exit,3747,1,550.11,101.155
70,entry,3773,1,350.0151515,119.6363636
25,entry,3808,1,350.0351759,74.83417085
65,exit,3825,1,550.1457286,111.1658291
73,exit,3858,1,550.075,95.795
18,exit,3862,1,550.1,83.525
50,entry,3905,1,350.0252525,96.55050505
79,entry,3913,1,350.0151515,131.7929293
9,exit,3964,1,550.01,85.04
84,exit,3966,1,550.1,108.41
97,exit,4004,1,550.1515152,97.5
4,entry,4017,1,350.0203046,62.98477157
35,entry,4028,1,350,84.1928934
53,exit,4085,1,550.0049751,89.96517413
78,entry,4124,1,350.0100503,125.9849246
28,exit,4143,1,550.0252525,105.6919192
68,entry,4145,1,350.0050505,114.1565657
63,exit,4164,1,550.080402,114.879397
6,exit,4178,1,550.0653266,85.16080402
24,entry,4206,1,350.1407035,65.3919598
34,entry,4207,1,350.1313131,81.12121212
51,entry,4241,1,350.1363636,94.28282828
100,entry,4254,1,350.030303,137.2676768
41,exit,4262,1,550.0452261,101.6030151
8,exit,4275,1,550.13,87.33
95,exit,4301,1,550.0100503,116.1407035
23,entry,4313,1,350.0656566,74.97474747
27,exit,4358,1,550.085,100.175
94,exit,4420,1,550.095,112.7
17,exit,4425,1,550.1959799,92.22613065
58,entry,4430,1,350.0555556,127.9848485
67,entry,4444,1,350.0301508,114.5577889
45,entry,4475,1,350.0954774,71.89949749
62,entry,4485,1,350.02,97.245
83,exit,4500,1,550.1859296,105.3366834
12,entry,4561,1,350.030303,65.03535354
5,exit,4562,1,550.11,91.02
72,exit,4619,1,550.07,111.55
15,exit,4629,1,550.115,83.945
49,entry,4631,1,350.1515152,91.86363636
39,exit,4681,1,550.1256281,99.48241206
56,entry,4715,1,350.0456853,113.1675127
38,exit,4730,1,550.0150754,86.76884422
90,entry,4730,1,350.0555556,136.4090909
82,exit,4747,1,550.2160804,113.7236181
61,entry,4767,1,350.12,101.18
3,entry,4792,1,350,65.205
29,exit,4818,1,550.025,99.255
47,entry,4823,1,350.030303,88.22727273
81,exit,4853,1,550.0854271,90.22110553
69,entry,4873,1,350.0100503,121.3517588
93,exit,4913,1,550.2424242,106.0858586
57,entry,4947,1,350,133.3417085
37,exit,4965,1,550.045,90.31
54,entry,4982,1,350.0351759,76.0201005
71,exit,4987,1,550.1,112.08
26,exit,5051,1,550.0552764,97.07035176
66,exit,5076,1,550.1306533,113.9447236
13,entry,5091,1,350.0201005,67.51758794
52,exit,5156,1,550.055,101.71
36,exit,5178,1,550.1005025,88.71859296
89,entry,5179,1,350.05,133.815
92,exit,5234,1,550.025,111.59
48,exit,5285,1,550.160804,94.52261307
1,entry,5292,1,350.0502513,63.46231156
14,exit,5351,1,550.0452261,81.93969849
80,exit,5363,1,550.0150754,110.8844221
2,exit,5382,1,550.18,99.105
16,exit,5463,1,550.1909548,91.9798995
ID,Event,Frame,Cell kind,Coordinates,
22,entry,1349,1,350.040201,63.14572864
33,entry,1395,1,350.0050251,72.96482412
99,entry,1397,1,350.160804,135.6733668
44,entry,1471,1,350.01,81.605
77,entry,1482,1,350.0954774,128.2311558
21,entry,1494,1,350.1105528,64.20603015
87,entry,1569,1,350.0753769,137.0854271
10,entry,1603,1,350.0703518,63.52261307
43,entry,1614,1,350.02,84.21
88,entry,1618,1,350.32,125
32,entry,1622,1,350.15,74.45
76,entry,1763,1,350.010101,123.0454545
20,entry,1774,1,350.0707071,63.10606061
31,entry,1780,1,350.1010101,73.97474747
98,entry,1792,1,350.005,137.155
55,entry,1793,1,350.040201,86.0201005
86,entry,1853,1,350.075,122.22
42,entry,1885,1,350,76.23115578
97,entry,1927,1,350.0252525,135.8838384
85,entry,1942,1,350.26,122.355
41,entry,1950,1,350.0050251,92.11055276
29,entry,2000,1,350.080402,83.30653266
19,entry,2015,1,350.1010101,71.63636364
84,entry,2034,1,350.075,124.42
11,entry,2075,1,350.0152284,63.04060914
96,entry,2115,1,350.0351759,135.6884422
54,entry,2177,1,350.0050251,95.42211055
9,entry,2181,1,350.0406091,74.26903553
30,entry,2196,1,350.0251256,85.35175879
74,entry,2270,1,350.035533,121.680203
94,entry,2280,1,350.1,133.965
8,entry,2317,1,350.040404,67.67676768
75,entry,2321,1,350.0203046,107.7614213
95,entry,2445,1,350.1414141,134.8232323
28,entry,2477,1,350.010101,90.81313131
7,entry,2487,1,350.0964467,68.63451777
65,entry,2536,1,350.010101,109.3080808
73,entry,2536,1,350.1218274,120.3604061
16,entry,2589,1,350.0964467,83.20812183
